Site_Name,Date,Commodity,Production_Tons,Operational_Cost_AUD,Safety_Incidents,Equipment_Uptime_Pct,Revenue_AUD
Hunter Coal,2025-06-09,Coal,24793.5,315237.87,0,86.25,3514918.89
Olympic Dam,2025-01-11,Lithium,33978.05,303482.39,0,94.72,4816991.95
Greenbushes Lithium,2025-05-18,Copper,22142.83,197249.81,0,87.33,3139139.35
Olympic Dam,2025-03-19,Coal,7455.44,397900.29,0,96.01,1056941.01
Olympic Dam,2025-03-18,Copper,31975.75,167294.63,0,88.5,4533130.37
Kalgoorlie Gold,2026-03-17,Coal,45608.15,175973.9,0,90.84,6465765.15
Greenbushes Lithium,2025-09-11,Lithium,22244.69,284284.87,0,89.91,3153579.82
Greenbushes Lithium,2026-02-13,Iron Ore,14734.97,214511.94,0,97.02,2088943.65
Greenbushes Lithium,2025-09-15,Lithium,24915.98,198985.19,0,86.77,3532282.61
Olympic Dam,2025-11-16,Iron Ore,7176.32,358095.06,0,92.92,1017370.79
Hunter Coal,2025-10-18,Iron Ore,41921.94,360388.7,0,86.99,5943179.42
Greenbushes Lithium,2025-09-20,Copper,42185.34,429806.83,0,94.87,5980521.05
Olympic Dam,2025-03-26,Lithium,31460.02,267083.43,1,97.67,4460016.48
Kalgoorlie Gold,2025-05-26,Coal,20889.63,129234.04,0,91.08,2961476.0
Hunter Coal,2025-11-19,Lithium,40990.25,209466.55,0,91.83,5811095.82
Kalgoorlie Gold,2025-02-11,Copper,29960.92,492002.19,0,97.98,4247492.44
Hunter Coal,2026-01-09,Iron Ore,42166.95,338503.43,0,92.29,5977913.94
Olympic Dam,2025-05-05,Copper,33415.65,383894.83,0,91.83,4737261.76
Pilbara Iron,2025-06-16,Gold,40298.25,102943.13,0,93.1,5712992.53
Hunter Coal,2026-03-01,Gold,31935.33,307282.29,0,94.65,4527400.12
Kalgoorlie Gold,2025-08-29,Coal,23636.35,115011.46,0,86.5,3350872.33
Olympic Dam,2025-10-07,Copper,48107.56,327692.08,0,96.5,6820100.9
Hunter Coal,2025-07-07,Coal,29350.12,468308.34,0,91.1,4160900.69
Pilbara Iron,2025-10-29,Coal,32229.03,487367.65,0,86.01,4569037.31
Pilbara Iron,2025-01-19,Gold,14921.94,316221.07,0,96.01,2115449.97
Greenbushes Lithium,2025-03-09,Coal,33154.29,283281.92,0,90.28,4700209.34
Greenbushes Lithium,2025-08-06,Gold,30722.34,478006.84,0,86.41,4355437.24
Kalgoorlie Gold,2025-04-12,Iron Ore,13317.73,369443.93,0,93.87,1888024.72
Hunter Coal,2025-02-11,Copper,7681.42,125959.71,0,97.32,1088977.69
Hunter Coal,2025-10-15,Coal,32196.17,286290.23,0,97.43,4564378.82
Greenbushes Lithium,2025-06-16,Gold,39366.15,196098.01,0,98.41,5580850.8
Hunter Coal,2025-04-19,Lithium,28553.06,287921.73,0,97.15,4047903.28
Hunter Coal,2025-02-05,Coal,15204.77,282186.23,0,85.03,2155546.15
Pilbara Iron,2025-08-20,Iron Ore,34993.49,332857.92,0,90.32,4960948.6
Greenbushes Lithium,2025-08-17,Iron Ore,8604.76,242708.2,0,96.46,1219877.53
Olympic Dam,2025-12-19,Lithium,24882.52,165708.18,0,90.13,3527539.06
Greenbushes Lithium,2025-06-13,Gold,12351.5,301487.77,0,93.42,1751044.46
Olympic Dam,2026-01-22,Coal,13300.66,432081.15,0,93.49,1885604.74
Pilbara Iron,2025-03-14,Gold,14103.23,365604.89,0,90.11,1999383.29
Kalgoorlie Gold,2025-05-16,Iron Ore,22401.82,235347.15,0,97.66,3175855.78
Hunter Coal,2025-12-19,Gold,7301.76,474209.21,0,92.05,1035154.14
Pilbara Iron,2026-01-14,Iron Ore,22900.7,464883.03,0,91.51,3246580.88
Hunter Coal,2025-03-11,Gold,28026.84,183739.36,0,98.97,3973302.25
Kalgoorlie Gold,2026-03-01,Lithium,26748.24,115767.03,0,91.91,3792038.0
Kalgoorlie Gold,2025-07-15,Copper,22225.28,396523.48,0,87.5,3150828.1
Pilbara Iron,2025-09-26,Lithium,42761.6,431044.1,0,92.18,6062216.14
Kalgoorlie Gold,2025-02-18,Lithium,11539.7,487145.83,0,96.4,1635957.39
Olympic Dam,2025-11-12,Copper,27756.35,455934.56,0,95.88,3934955.49
Kalgoorlie Gold,2025-05-10,Copper,7791.86,340213.91,0,96.04,1104634.52
Hunter Coal,2026-03-20,Coal,8202.01,312020.94,0,94.91,1162780.56
Hunter Coal,2025-01-05,Coal,30823.96,111136.42,0,88.56,4369843.68
Hunter Coal,2026-03-04,Lithium,30470.83,198662.58,0,97.07,4319781.24
Hunter Coal,2025-01-27,Lithium,44511.51,283845.9,0,97.51,6310296.95
Olympic Dam,2025-06-09,Iron Ore,30104.32,351401.56,0,87.72,4267821.94
Greenbushes Lithium,2025-05-29,Iron Ore,48190.6,322900.73,1,86.83,6831873.29
Pilbara Iron,2025-09-21,Coal,7191.27,397054.4,0,98.66,1019490.22
Hunter Coal,2025-08-18,Coal,9410.35,211906.77,0,97.16,1334084.22
Kalgoorlie Gold,2025-07-19,Iron Ore,6982.96,325981.04,0,97.51,989958.58
Hunter Coal,2025-02-19,Iron Ore,13337.46,135256.9,0,97.41,1890821.79
Kalgoorlie Gold,2025-03-08,Gold,29357.15,265466.21,0,92.58,4161897.32
Kalgoorlie Gold,2025-10-27,Gold,34050.75,400064.33,1,94.05,4827298.47
Hunter Coal,2026-01-16,Iron Ore,7051.33,377360.34,0,92.64,999651.24
Olympic Dam,2025-02-27,Gold,47568.69,496257.09,0,85.72,6743706.51
Kalgoorlie Gold,2025-09-16,Copper,42897.44,211156.45,0,95.44,6081473.87
Kalgoorlie Gold,2025-12-08,Coal,18347.56,299275.72,0,92.07,2601092.44
Hunter Coal,2025-11-22,Coal,8473.44,231812.17,0,94.07,1201260.59
Kalgoorlie Gold,2025-05-10,Iron Ore,12644.92,276241.25,0,92.04,1792641.95
Kalgoorlie Gold,2025-08-03,Lithium,10712.5,442780.05,1,91.89,1518687.1
Hunter Coal,2025-06-21,Iron Ore,10547.77,373683.63,0,87.41,1495333.7
Hunter Coal,2025-09-15,Gold,28335.28,452976.48,0,88.9,4017029.1
Pilbara Iron,2025-04-12,Lithium,16063.13,181404.44,0,87.22,2277233.92
Olympic Dam,2025-07-28,Gold,21116.29,449344.45,0,87.74,2993609.08
Olympic Dam,2025-10-18,Copper,49527.74,123904.91,0,98.62,7021436.63
Kalgoorlie Gold,2025-12-20,Gold,35794.14,455439.71,0,87.14,5074454.96
Olympic Dam,2025-10-13,Copper,47704.13,231629.51,0,88.77,6762907.53
Kalgoorlie Gold,2025-04-26,Copper,11415.04,225835.05,0,93.27,1618284.62
Pilbara Iron,2025-09-21,Gold,22196.28,304835.43,0,93.54,3146716.84
Hunter Coal,2025-05-30,Gold,29962.93,476276.08,0,87.16,4247777.39
Hunter Coal,2025-10-27,Copper,8454.11,119112.55,0,96.11,1198520.22
Hunter Coal,2026-03-18,Lithium,5188.43,240892.39,1,95.99,735552.09
Olympic Dam,2025-02-05,Copper,35169.55,442628.8,0,88.32,4985908.23
Pilbara Iron,2025-11-29,Coal,33881.88,258421.79,0,89.04,4803358.15
Olympic Dam,2025-10-14,Copper,23485.5,179662.76,0,98.13,3329486.67
Olympic Dam,2025-10-30,Lithium,27033.98,269917.67,0,96.56,3832546.72
Pilbara Iron,2025-11-07,Coal,23694.94,254221.0,0,94.77,3359178.51
Pilbara Iron,2025-07-27,Iron Ore,6080.23,466166.48,0,86.15,861980.57
Pilbara Iron,2025-04-16,Iron Ore,20091.72,404773.75,0,90.86,2848358.09
Pilbara Iron,2026-03-22,Lithium,12968.7,302046.22,0,92.83,1838543.52
Hunter Coal,2025-06-07,Copper,9429.09,495348.23,0,87.62,1336740.94
Greenbushes Lithium,2025-05-01,Gold,48052.42,286111.01,0,91.28,6812283.82
Greenbushes Lithium,2025-02-24,Lithium,31971.19,123295.13,0,93.41,4532483.91
Pilbara Iron,2026-02-04,Coal,37789.53,204909.73,0,89.58,5357336.92
Greenbushes Lithium,2025-01-12,Coal,19191.37,274428.19,0,95.93,2720717.49
